sample	samples	cancer type abbreviation	CDS1
TCGA-VD-A8KH-01	TCGA-VD-A8KH-01	UVM	9.1
TCGA-YZ-A980-01	TCGA-YZ-A980-01	UVM	8.89
TCGA-WC-A87Y-01	TCGA-WC-A87Y-01	UVM	8.09
TCGA-V4-A9EU-01	TCGA-V4-A9EU-01	UVM	7.82
TCGA-VD-AA8T-01	TCGA-VD-AA8T-01	UVM	7.44
TCGA-VD-A8K9-01	TCGA-VD-A8K9-01	UVM	7.34
TCGA-V4-A9F3-01	TCGA-V4-A9F3-01	UVM	7.32
TCGA-WC-A883-01	TCGA-WC-A883-01	UVM	7.29
TCGA-VD-A8K7-01	TCGA-VD-A8K7-01	UVM	7.25
TCGA-RZ-AB0B-01	TCGA-RZ-AB0B-01	UVM	7.23
TCGA-VD-A8KF-01	TCGA-VD-A8KF-01	UVM	7.2
TCGA-VD-A8KM-01	TCGA-VD-A8KM-01	UVM	7.13
TCGA-V4-A9EE-01	TCGA-V4-A9EE-01	UVM	7.12
TCGA-V4-A9EI-01	TCGA-V4-A9EI-01	UVM	7.09
TCGA-V4-A9EW-01	TCGA-V4-A9EW-01	UVM	7.05
TCGA-V4-A9F7-01	TCGA-V4-A9F7-01	UVM	7.05
TCGA-V4-A9EK-01	TCGA-V4-A9EK-01	UVM	7.04
TCGA-YZ-A983-01	TCGA-YZ-A983-01	UVM	6.96
TCGA-V4-A9EV-01	TCGA-V4-A9EV-01	UVM	6.95
TCGA-VD-A8KO-01	TCGA-VD-A8KO-01	UVM	6.94
TCGA-WC-A880-01	TCGA-WC-A880-01	UVM	6.94
TCGA-V4-A9EJ-01	TCGA-V4-A9EJ-01	UVM	6.92
TCGA-VD-AA8R-01	TCGA-VD-AA8R-01	UVM	6.9
TCGA-V3-A9ZX-01	TCGA-V3-A9ZX-01	UVM	6.89
TCGA-V4-A9EX-01	TCGA-V4-A9EX-01	UVM	6.8
TCGA-VD-AA8P-01	TCGA-VD-AA8P-01	UVM	6.74
TCGA-VD-AA8O-01	TCGA-VD-AA8O-01	UVM	6.73
TCGA-WC-AA9A-01	TCGA-WC-AA9A-01	UVM	6.65
TCGA-WC-A87U-01	TCGA-WC-A87U-01	UVM	6.64
TCGA-VD-A8KD-01	TCGA-VD-A8KD-01	UVM	6.58
TCGA-V4-A9EH-01	TCGA-V4-A9EH-01	UVM	6.57
TCGA-WC-A87T-01	TCGA-WC-A87T-01	UVM	6.52
TCGA-V4-A9EL-01	TCGA-V4-A9EL-01	UVM	6.32
TCGA-VD-A8K8-01	TCGA-VD-A8K8-01	UVM	6.31
TCGA-V4-A9EC-01	TCGA-V4-A9EC-01	UVM	6.29
TCGA-V4-A9F1-01	TCGA-V4-A9F1-01	UVM	6.27
TCGA-WC-A87W-01	TCGA-WC-A87W-01	UVM	6.22
TCGA-WC-A888-01	TCGA-WC-A888-01	UVM	6.21
TCGA-V4-A9F5-01	TCGA-V4-A9F5-01	UVM	6.2
TCGA-VD-A8KK-01	TCGA-VD-A8KK-01	UVM	6.1
TCGA-WC-A884-01	TCGA-WC-A884-01	UVM	6.1
