cancer type abbreviation,CDS1,CDS2
UVM,9.1,10.18
UVM,8.89,10.71
UVM,8.09,11.36
UVM,7.82,12.03
UVM,7.44,10.04
UVM,7.34,10.35
UVM,7.32,11.61
UVM,7.29,11.25
UVM,7.25,10.03
UVM,7.23,11.03
UVM,7.2,10.27
UVM,7.13,10.98
UVM,7.12,10.66
UVM,7.09,11.69
UVM,7.05,10.87
UVM,7.05,10.4
UVM,7.04,10.55
UVM,6.96,10.67
UVM,6.95,10.9
UVM,6.94,10.52
UVM,6.94,10.8
UVM,6.92,11.03
UVM,6.9,10.81
UVM,6.89,11.54
UVM,6.8,10.81
UVM,6.74,10.12
UVM,6.73,10.98
UVM,6.65,10.11
UVM,6.64,10.56
UVM,6.58,10.43
UVM,6.57,11.88
UVM,6.52,10.47
UVM,6.32,11.84
UVM,6.31,10.83
UVM,6.29,10.77
UVM,6.27,11.16
UVM,6.22,10.36
UVM,6.21,11.49
UVM,6.2,11.16
UVM,6.1,10.54
UVM,6.1,10.64
UVM,6.05,11.69
UVM,6.01,10.35
UVM,5.98,10.43
UVM,5.97,11.56
UVM,5.97,10.94
UVM,5.94,10.42
UVM,5.94,10.51
UVM,5.83,10.97
UVM,5.82,10.79
UVM,5.81,10.93
UVM,5.77,11.33
UVM,5.76,10.65
UVM,5.75,11.13
UVM,5.72,10.51
UVM,5.67,10.77
UVM,5.61,11.41
UVM,5.59,11.06
UVM,5.58,10.52
UVM,5.55,11.17
UVM,5.53,10.88
UVM,5.37,11.09
UVM,5.3,10.39
UVM,4.82,10.73
UVM,4.77,10.47
UVM,4.77,10.32
UVM,4.76,10.71
UVM,4.69,10.9
UVM,4.63,10.95
UVM,4.59,10.03
UVM,4.51,10.65
UVM,4.27,10.5
UVM,4.17,10.74
UVM,4.04,10.44
UVM,4.01,11.05
UVM,3.81,12.41
UVM,3.79,11.44
UVM,3.68,10.54
UVM,3.25,10.01
UVM,2.93,10.42
UCS,10.22,10.07
UCS,10.22,9.2
UCS,10.18,9.14
UCS,10.15,9.24
UCS,9.93,9.24
UCS,9.81,9.37
UCS,9.65,9.22
UCS,9.56,9.48
UCS,9.55,9.51
UCS,9.4,9.61
UCS,9.38,9.04
UCS,9.14,9.38
UCS,9.12,8.53
UCS,9.07,9.59
UCS,9.06,8.37
UCS,9.04,8.74
UCS,8.94,9.09
UCS,8.78,8.8
UCS,8.72,9.32
UCS,8.65,10.04
UCS,8.46,9
UCS,8.41,8.46
UCS,8.26,8.6
UCS,8.08,9.19
UCS,8.08,8.1
UCS,8.01,9.17
UCS,7.98,9.2
UCS,7.97,9.33
UCS,7.91,9.57
UCS,7.9,9.19
UCS,7.86,9.9
UCS,7.86,9.76
UCS,7.73,9.09
UCS,7.62,9.71
UCS,7.54,9.02
UCS,7.52,10.49
UCS,7.51,10.03
UCS,7.45,9.37
UCS,7.42,8.97
UCS,7.4,8.38
UCS,7.37,8.86
UCS,7.26,8.98
UCS,6.96,9.27
UCS,6.57,9.52
UCS,6.36,8.26
UCS,6.26,9.03
UCS,6.15,9.3
UCS,6,8.86
UCS,5.95,9.23
UCS,5.57,8.26
UCS,5.43,8.77
UCS,5.21,7.89
UCS,5.12,10.77
UCS,4.94,8.96
UCS,3.96,9.23
UCS,3.74,8.82
UCS,1.36,9.12
UCEC,11.91,9.28
UCEC,11.81,9.38
UCEC,11.74,9.81
UCEC,11.71,9.02
UCEC,11.68,9.09
UCEC,11.66,8.96
UCEC,11.61,9.48
UCEC,11.57,9.73
UCEC,11.57,9.18
UCEC,11.55,9.29
UCEC,11.55,9.33
UCEC,11.54,9.15
UCEC,11.44,9.29
UCEC,11.43,9.37
UCEC,11.37,8.99
UCEC,11.34,9.09
UCEC,11.33,9.62
UCEC,11.33,9.25
UCEC,11.3,9.58
UCEC,11.29,9.29
UCEC,11.28,9.12
UCEC,11.25,9.47
UCEC,11.24,9.55
UCEC,11.24,9.35
UCEC,11.22,8.99
UCEC,11.16,9.81
UCEC,11.14,9.46
UCEC,11.14,9.31
UCEC,11.11,9.42
UCEC,11.1,9.17
UCEC,11.1,8.83
UCEC,11.07,10.47
UCEC,11.06,9.67
UCEC,11.06,9.79
UCEC,11.03,9.44
UCEC,11.02,9.34
UCEC,11,9.85
UCEC,10.99,8.6
UCEC,10.97,9.96
UCEC,10.97,9.84
UCEC,10.95,9.41
UCEC,10.93,9.47
UCEC,10.93,9.21
UCEC,10.92,9.21
UCEC,10.91,9.33
UCEC,10.9,9.31
UCEC,10.88,9.06
UCEC,10.88,8.98
UCEC,10.88,8.96
UCEC,10.84,8.08
UCEC,10.84,9.72
UCEC,10.84,9.31
UCEC,10.83,9.36
UCEC,10.82,9.14
UCEC,10.82,9.14
UCEC,10.82,8.99
UCEC,10.82,9.64
UCEC,10.8,8.17
UCEC,10.79,9
UCEC,10.78,10.01
UCEC,10.78,9.17
UCEC,10.78,8.61
UCEC,10.75,9.36
UCEC,10.75,9.4
UCEC,10.74,9.56
UCEC,10.73,9.11
UCEC,10.71,9.01
UCEC,10.71,9.07
UCEC,10.71,9.06
UCEC,10.7,9.8
UCEC,10.69,9.16
UCEC,10.69,9.63
UCEC,10.69,9.56
UCEC,10.67,9.95
UCEC,10.66,9.73
UCEC,10.65,9.41
UCEC,10.65,9.78
UCEC,10.63,8.91
UCEC,10.63,9.34
UCEC,10.63,9.45
UCEC,10.62,9.64
UCEC,10.61,9.27
UCEC,10.61,9.64
