Gene,Label,Rank
SOX10,UVM,19.0
SOX10,UVM,112.0
SOX10,UVM,16.0
SOX10,UVM,10257.0
SOX10,UVM,186.0
SOX10,UVM,1.0
SOX10,UVM,61.0
SOX10,UVM,80.0
SOX10,UVM,39.0
SOX10,UVM,68.0
MITF,UVM,165.0
MITF,UVM,156.0
MITF,UVM,78.5
MITF,UVM,13973.0
MITF,UVM,259.0
MITF,UVM,105.0
MITF,UVM,4.0
MITF,UVM,184.0
MITF,UVM,360.0
MITF,UVM,235.0
CDS2,UVM,17.0
CDS2,UVM,38.0
CDS2,UVM,207.0
CDS2,UVM,388.5
CDS2,UVM,39.0
CDS2,UVM,184.0
CDS2,UVM,5.0
CDS2,UVM,327.0
CDS2,UVM,117.0
CDS2,UVM,304.0
CDIPT,UVM,151.0
CDIPT,UVM,12.0
CDIPT,UVM,99.0
CDIPT,UVM,5029.0
CDIPT,UVM,3.0
CDIPT,UVM,58.0
CDIPT,UVM,78.0
CDIPT,UVM,24.0
CDIPT,UVM,21.0
CDIPT,UVM,63.5
RASGRP3,UVM,586.0
RASGRP3,UVM,624.0
RASGRP3,UVM,191.0
RASGRP3,UVM,8251.0
RASGRP3,UVM,1307.0
RASGRP3,UVM,655.0
RASGRP3,UVM,171.0
RASGRP3,UVM,442.0
RASGRP3,UVM,783.0
RASGRP3,UVM,585.5
TFAP2A,UVM,181.0
TFAP2A,UVM,612.0
TFAP2A,UVM,325.0
TFAP2A,UVM,15045.0
TFAP2A,UVM,1236.0
TFAP2A,UVM,228.0
TFAP2A,UVM,224.0
TFAP2A,UVM,1019.0
TFAP2A,UVM,1050.0
TFAP2A,UVM,894.0
GNAQ,UVM,250.5
GNAQ,UVM,14.0
GNAQ,UVM,37.0
GNAQ,UVM,1933.0
GNAQ,UVM,73.0
GNAQ,UVM,10668.0
GNAQ,UVM,9.0
GNAQ,UVM,395.0
GNAQ,UVM,7.0
GNAQ,UVM,1333.0
RIC8A,UVM,454.0
RIC8A,UVM,1861.0
RIC8A,UVM,357.0
RIC8A,UVM,1082.0
RIC8A,UVM,1293.0
RIC8A,UVM,505.0
RIC8A,UVM,108.0
RIC8A,UVM,704.0
RIC8A,UVM,484.5
RIC8A,UVM,879.0
LCE2D,UVM,439.0
LCE2D,UVM,554.5
LCE2D,UVM,825.0
LCE2D,UVM,1030.0
LCE2D,UVM,990.0
LCE2D,UVM,771.0
LCE2D,UVM,4605.0
LCE2D,UVM,647.0
LCE2D,UVM,1102.0
LCE2D,UVM,958.0
PRKCE,UVM,2113.0
PRKCE,UVM,57.0
PRKCE,UVM,1030.0
PRKCE,UVM,3138.0
PRKCE,UVM,317.0
PRKCE,UVM,143.0
