,dataset,cell_line_label,gene,BINARY,num,neg.score,neg.p.value,neg.fdr,neg.rank,neg.goodsgrna,neg.lfc,pos.score,pos.p.value,pos.fdr,pos.rank,pos.goodsgrna,pos.lfc,is_depleted_mageck,is_enriched_mageck,BF,is_depleted_bagel,avg_neg_lfc
44,scaled,Mel270,AHCYL1,1,8,0.00011681,0.00067719,0.009833,71,7,-0.77845,0.55521,0.55517,0.999995,532,0,-0.77845,1,0,1.538989583,1,-0.837275
95,scaled,OMM25,AHCYL1,1,8,1.9194e-05,0.00016346,0.00225,75,8,-0.80579,0.99998,1,0.999995,1010,0,-0.80579,1,0,4.214260417,1,-0.837275
127,scaled,MP38,AHCYL1,1,8,7.6166e-07,4.6703e-06,0.00019,27,8,-1.1651,0.99999,1,0.999995,1033,0,-1.1651,1,0,3.686760417,1,-0.837275
162,scaled,MP41,AHCYL1,1,8,0.0003954,0.0026761,0.037822,74,8,-0.74937,0.9981,0.99806,0.999995,1016,0,-0.74937,1,0,1.914802083,1,-0.837275
196,scaled,OMM1,AHCYL1,1,8,0.00047182,0.0030217,0.022716,142,8,-0.68308,0.99953,0.99943,0.999995,976,0,-0.68308,1,0,3.25484375,1,-0.837275
207,scaled,OMM23,AHCYL1,1,8,3.6556e-06,4.2033e-05,0.000743,50,8,-0.84186,0.99998,1,0.999995,1009,0,-0.84186,1,0,6.438395833,1,-0.837275
34,scaled,Mel270,AKIRIN2,1,8,1.0311e-05,7.0054e-05,0.002007,35,7,-1.2943,0.99994,0.99995,0.999995,1026,0,-1.2943,1,0,4.114177083,1,-0.8303375
65,scaled,Mel285,AKIRIN2,1,8,6.7484e-05,0.00045302,0.007622,63,7,-0.8023,0.99988,0.99984,0.999995,1011,0,-0.8023,1,0,0.668854167,1,-0.8303375
87,scaled,OMM25,AKIRIN2,1,8,2.9651e-07,4.6703e-06,0.00015,24,8,-0.7087,1,1,0.999995,1044,0,-0.7087,1,0,4.08971875,1,-0.8303375
120,scaled,921,AKIRIN2,1,8,0.00025963,0.0016299,0.028795,63,8,-0.97086,0.99726,0.99718,0.999995,1014,0,-0.97086,1,0,1.492833333,1,-0.8303375
