Genes,U-statistics,p-value,Median_Rank_UV,Median_Rank_Rest,FC,log2FC,Padj,UVM,Pan-cancer,log10(1/Padj)
SOX10,8866,1.09E-05,64.5,3183,49.34883721,5.624944186,0.000236045,-1.7504715,-0.243527911,3.627005713
MITF,8917,8.41E-06,174.5,8533,48.89971347,5.611754106,0.000201266,-1.280699,-0.038096032,3.696228848
CDS2,9809,5.18E-08,150.5,3380,22.45847176,4.489187854,2.97E-05,-1.525359,-0.314743121,4.527078059
CDIPT,8899,9.22E-06,60.75,1310,21.56378601,4.430538593,0.000214885,-1.8238292,-0.696467944,3.667794153
RASGRP3,9502,3.32E-07,605,9838,16.26115702,4.023358008,3.64E-05,-0.7763434,-0.012207594,4.438802603
TFAP2A,8947,7.19E-06,753,11357,15.08233732,3.914788116,0.00018382,-0.719859,0.002115932,3.735607261
GNAQ,8459,7.95E-05,161.75,2363,14.60896445,3.868782012,0.000930937,-1.364736,-0.34017894,3.031079783
RIC8A,9738,8.04E-08,604.5,8727,14.43672457,3.851671553,2.97E-05,-0.726736,-0.050472282,4.527078059
LCE2D,9726,8.65E-08,891.5,10950,12.28266966,3.618552262,2.97E-05,-0.6480119,0.016445212,4.527078059
PRKCE,9662,1.28E-07,604.5,6987,11.55831266,3.530858896,3.05E-05,-0.883304,-0.082490388,4.515870573
CDC27,9005.5,5.29E-06,10.5,95,9.047619048,3.177538186,0.00014884,-2.204395,-2.360209801,3.827281035
TERF1,9489,3.58E-07,147,1300,8.843537415,3.144623563,3.68E-05,-1.340589,-0.679274221,4.434138076
RPL37A,9789,5.86E-08,19,165,8.684210526,3.118394701,2.97E-05,-2.212783,-2.118256777,4.527078059
DRD5,9712,9.43E-08,1766,14623,8.280294451,3.049682071,2.97E-05,-0.258507,0.113275915,4.527078059
SRP54,9767,6.72E-08,32,260,8.125,3.022367813,2.97E-05,-2.032865,-1.86912548,4.527078059
NAA38,9232,1.55E-06,378.5,2910,7.688243065,2.942653948,7.33E-05,-1.0545854,-0.257086878,4.135105289
TRIM49D1,9810,5.15E-08,572.25,4212,7.360419397,2.879787973,2.97E-05,-0.893874,-0.171609511,4.527078059
HTR2B,8080,0.000423268,1326.5,9581,7.222766679,2.852551567,0.003201468,-0.25952315,-0.013752705,2.494650831
CCND1,8233.5,0.000219376,150,1020,6.8,2.765534746,0.001972708,-1.222432,-0.982537156,2.704937207
THOC2,9309.5,1.01E-06,26,168,6.461538462,2.691877705,5.76E-05,-2.082834,-2.07943264,4.239296193
INTS6,8438.5,8.74E-05,187.5,1190,6.346666667,2.665999073,0.001000508,-1.212923,-0.89513065,2.999779364
ZNF780A,9723,8.81E-08,2166.5,13535,6.247403646,2.643256746,2.97E-05,-0.2113882,0.087907723,4.527078059
RPL34,8959,6.75E-06,16,97,6.0625,2.599912842,0.000175859,-2.247917,-2.3458919,3.754835902
RPL5,8788,1.62E-05,22,132,6,2.584962501,0.000308846,-2.072095,-2.209967923,3.510258502
NOMO2,9725,8.71E-08,1487,8640,5.810356422,2.538626665,2.97E-05,-0.34819,-0.036839087,4.527078059
UBE2D2,9710,9.55E-08,1689,9744,5.769094139,2.528344805,2.97E-05,-0.332691,-0.010266063,4.527078059
PAX3,8479,7.24E-05,1685.5,9634,5.715811332,2.514958297,0.000866974,-0.24729286,-0.020784954,3.061993872
RPL30,9773.5,6.46E-08,102,559,5.480392157,2.454279131,2.97E-05,-1.706708,-1.368333458,4.527078059
TCEAL7,9703,9.96E-08,1689.5,9098,5.385025155,2.428953084,2.97E-05,-0.3173557,-0.023864332,4.527078059
RPS7,9690.5,1.08E-07,72.5,371,5.117241379,2.355366287,2.97E-05,-1.783267,-1.658056235,4.527078059
LIMS1,9351,7.95E-07,1420,7254,5.108450704,2.352885816,5.15E-05,-0.35123,-0.071280588,4.287890198
ZNF729,9799,5.51E-08,2949.75,14805,5.019069413,2.327419898,2.97E-05,-0.1816478,0.129550104,4.527078059
ZBTB10,9426,5.17E-07,2094.5,9937,4.744330389,2.246204481,4.33E-05,-0.245679,-0.009349085,4.36335596
RPS23,9577,2.13E-07,61.5,284,4.617886179,2.207232614,3.19E-05,-1.789778,-1.820850177,4.495810401
ARNT,8598,4.13E-05,1631,7268,4.456161864,2.155801638,0.000580737,-0.266542,-0.056245073,3.236020549
UBE2W,8660,3.06E-05,1936.5,8488,4.383165505,2.131973155,0.000473143,-0.1941319,-0.042341763,3.325007217
MDM2,9086,3.45E-06,557,2440,4.380610413,2.131131915,0.000111664,-0.874764,-0.481190157,3.952087599
ZNF519,9096,3.27E-06,3390.25,14837,4.376373424,2.129735845,0.00010752,-0.1630716,0.121891036,3.968509495
ATP6V0D2,9657.5,1.31E-07,2250.5,9801,4.355032215,2.122683391,3.05E-05,-0.2125233,-3.30E-06,4.515870573
POU5F1,9661.5,1.28E-07,1690,7319,4.330769231,2.114623299,3.05E-05,-0.3454728,-0.065205857,4.515870573
RPS14,7592.5,0.002846892,61,264,4.327868852,2.113656782,0.013181766,-1.750303,-1.857410227,1.880026396
ZNF85,8238,0.000215102,1420,6122,4.311267606,2.108112115,0.001946049,-0.2934006,-0.106889013,2.710846185
CFHR3,9133,2.67E-06,3170.25,13666,4.310701049,2.107922514,9.74E-05,-0.1365211,0.109148568,4.011278279
SPTLC2,8225.5,0.000227176,1236.5,5302,4.287909422,2.10027443,0.002030535,-0.494403,-0.159350323,2.692389511
TIMM23,9798,5.54E-08,304,1289,4.240131579,2.084109035,2.97E-05,-1.140979,-0.697291038,4.527078059
ADAM2,8901,9.13E-06,2444,10275,4.204173486,2.071822204,0.000213598,-0.2133494,0.007565385,3.670403033
ZNF681,9565,2.29E-07,2004,8365,4.174151697,2.061483032,3.26E-05,-0.2623826,-0.034923441,4.486852676
HMGN5,9111,3.01E-06,2987.5,12127,4.059246862,2.02121208,0.000103981,-0.1424917,0.044389978,3.98304523
EGR2,9799,5.51E-08,927,3737,4.031283711,2.01123932,2.97E-05,-0.570775,-0.195656636,4.527078059
PPM1D,9088,3.41E-06,1012,4065,4.016798419,2.006046062,0.000111131,-0.589226,-0.249806129,3.954164044
CERS5,8783,1.66E-05,3004,12057,4.013648469,2.004914265,0.000313408,-0.11203318,0.03778863,3.503889826
CEACAM8,9667,1.24E-07,2049,8223,4.01317716,2.004744845,3.05E-05,-0.2660144,-0.044305428,4.515870573
EIF1AX,7396.5,0.005672301,80.75,321,3.975232198,1.991039132,0.022240278,-1.334165,-1.559662442,1.65285979
GCSAML,9495,3.46E-07,2415.5,9585,3.968122542,1.988456579,3.66E-05,-0.1842091,-0.013136229,4.436042887
PAG1,9306,1.03E-06,2686.5,10649,3.963893542,1.986918217,5.84E-05,-0.1467168,0.008542231,4.233671046
ZNF429,9117.5,2.91E-06,2509.5,9947,3.963737796,1.986861531,0.000101678,-0.1901333,-0.007736587,3.992770972
AHR,7760.5,0.00152258,2645,10422,3.94026465,1.978292532,0.008219431,-0.1482471,0.007903509,2.085158262
ZNF90,8835.5,1.28E-05,3779,14704,3.890976449,1.960132248,0.000261562,-0.1062178,0.121286252,3.582425149
GTF2H2C,8837.5,1.26E-05,1166,4530,3.885077187,1.957943262,0.000260552,-0.458308665,-0.164083289,3.584104814
GALNT13,9002,5.39E-06,2915,11235,3.854202401,1.946432336,0.000150483,-0.1255573,0.029975564,3.822512036
ROPN1B,9747,7.60E-08,3559,13479,3.787299803,1.92116963,2.97E-05,-0.1170908,0.081127333,4.527078059
INPP5A,8958.5,6.77E-06,2352.5,8816,3.747502657,1.905929501,0.000176147,-0.4575286,-0.040450537,3.754125601
ZNF267,9073,3.70E-06,3788,14184,3.744456177,1.904756205,0.000114946,-0.0633095,0.10138744,3.939507625
CHPT1,9302.5,1.05E-06,2732.5,10174,3.723330284,1.896593598,5.89E-05,-0.19735485,0.002112606,4.230215873
CLEC18B,9326,9.17E-07,1635,6072,3.713761468,1.892881155,5.48E-05,-0.2931848,-0.100336276,4.261457395
LRRC8C,9153,2.40E-06,3057,11343,3.710500491,1.891613798,9.08E-05,-0.1126065,0.022933095,4.041716788
RGS10,9531,2.80E-07,3434,12686,3.694234129,1.885275303,3.32E-05,-0.1014537,0.059623034,4.478944654
ACER1,9532,2.78E-07,2168.5,7935,3.659211436,1.87153278,3.32E-05,-0.2209379,-0.04932553,4.478944654
CORT,9651,1.37E-07,2395.5,8696,3.630139846,1.860025127,3.05E-05,-0.1999629,-0.027477561,4.515870573
LGALS7B,7896.5,0.00089578,2274,8171,3.593227792,1.845280398,0.005528377,-0.1986694,-0.059694255,2.257402376
EBPL,9430,5.05E-07,2268.5,8096,3.568878113,1.83547063,4.32E-05,-0.218115,-0.049480788,4.364401013
CAP2,9647,1.40E-07,4141.25,14748,3.561243586,1.832381118,3.05E-05,-0.0659452,0.117581058,4.515870573
OCM2,9189,1.97E-06,2186.5,7783,3.559570089,1.831703009,8.10E-05,-0.2705163,-0.057328863,4.091659464
RHCE,9377,6.86E-07,2956,10452,3.535859269,1.822060855,4.68E-05,-0.1369253,0.008416645,4.329326573
PSG6,9540.5,2.65E-07,2026.5,7117,3.511966445,1.812279061,3.32E-05,-0.2878853,-0.068883742,4.478944654
LCE2A,8913.5,8.56E-06,445.5,1564,3.510662177,1.811743176,0.000204041,-0.9798437,-0.538776424,3.69028284
TMEM126B,8302.5,0.000161808,2286.5,8020,3.507544282,1.810461318,0.001568144,-0.24814692,-0.060905258,2.80461395
AZI2,9205,1.80E-06,2692,9425,3.501114413,1.807814208,7.93E-05,-0.1960579,-0.015386243,4.100454114
RPS6KB1,9768,6.68E-08,1200,4199,3.499166667,1.807011382,2.97E-05,-0.459555,-0.17625117,4.527078059
TTC29,9480,3.78E-07,3385,11841,3.498079764,1.806563186,3.74E-05,-0.124317,0.037236938,4.427128272
RBM24,9332.5,8.83E-07,3378,11730,3.472468917,1.79596178,5.44E-05,-0.1382707,0.035901924,4.264504078
POTEE,9641,1.45E-07,4547.5,15776,3.469158879,1.794585914,3.08E-05,-0.06308408,0.180743227,4.511570278
ITGB5,8903,9.04E-06,679.5,2349,3.456953642,1.789501257,0.000212013,-0.793305,-0.417025828,3.673637962
PRKD3,9076,3.64E-06,2703.75,9337,3.453351826,1.787997323,0.000114155,-0.2093705,-0.018277315,3.942505445
GSTA5,9189.5,1.96E-06,1935.5,6665,3.443554637,1.783898568,8.10E-05,-0.2421807,-0.085092055,4.091659464
FBXO5,8543,5.36E-05,237,812,3.426160338,1.776592668,0.000698217,-1.14897978,-1.099469849,3.156009878
AMZ2,7931,0.000780337,2890.5,9876,3.416709912,1.772607764,0.00499526,-0.1239806,-7.28E-06,2.301441914
