dataset	cell_line_label	gene	num	neg.score	neg.p.value	neg.fdr	neg.rank	neg.goodsgrna	neg.lfc	pos.score	pos.p.value	pos.fdr	pos.rank	pos.goodsgrna	pos.lfc	is_depleted_mageck	is_enriched_mageck	BF	is_depleted_bagel
scaled	Mel202	MYC	16	4.6882e-15	4.6703e-06	0.000225	1	16	-1.9512	1	1	0.999995	1060	0	-1.9512	1	0	13.91275	1
scaled	Mel202	RRM1	16	3.1728e-14	4.6703e-06	0.000225	2	16	-2.1277	1	1	0.999995	1059	0	-2.1277	1	0	14.110875	1
scaled	Mel202	POLR2L	8	2.0185e-10	4.6703e-06	0.000225	3	8	-2.1674	1	1	0.999995	1058	0	-2.1674	1	0	16.3134583333333	1
scaled	Mel202	BUB3	8	5.5002e-09	4.6703e-06	0.000225	4	8	-1.7128	1	1	0.999995	1045	0	-1.7128	1	0	13.7084166666667	1
scaled	Mel202	RPP21	8	9.3051e-09	4.6703e-06	0.000225	5	8	-1.3595	1	1	0.999995	1057	0	-1.3595	1	0	10.9180833333333	1
scaled	Mel202	MTG2	8	2.48e-08	4.6703e-06	0.000225	6	8	-1.0284	1	1	0.999995	1056	0	-1.0284	1	0	9.02408333333333	1
scaled	Mel202	SF3B3	8	3.0201e-08	4.6703e-06	0.000225	7	8	-1.1704	1	1	0.999995	1055	0	-1.1704	1	0	10.5750416666667	1
scaled	Mel202	CCND1	8	3.2477e-08	4.6703e-06	0.000225	8	8	-1.5465	1	1	0.999995	1054	0	-1.5465	1	0	10.8025416666667	1
scaled	Mel202	ALDOA	8	7.4247e-08	4.6703e-06	0.000225	9	7	-1.6136	1	1	0.999995	1037	0	-1.6136	1	0	11.621	1
scaled	Mel202	COPA	8	9.9122e-08	4.6703e-06	0.000225	10	8	-1.1875	1	1	0.999995	1053	0	-1.1875	1	0	9.58433333333333	1
scaled	Mel202	RPS23	6	1.0754e-07	4.6703e-06	0.000225	11	6	-1.4267	1	1	0.999995	1052	0	-1.4267	1	0	12.747625	1
scaled	Mel202	PRPF8	8	1.3586e-07	4.6703e-06	0.000225	12	8	-1.5601	1	1	0.999995	1051	0	-1.5601	1	0	11.1658333333333	1
scaled	Mel202	RPL8	8	2.1595e-07	4.6703e-06	0.000225	13	6	-1.4223	0.99416	0.9941	0.999995	931	0	-1.4223	1	0	11.7375833333333	1
scaled	Mel202	RPL3	14	2.5823e-07	4.6703e-06	0.000225	14	9	-1.3401	0.46689	0.46607	0.999995	406	0	-1.3401	1	0	7.79910119047619	1
scaled	Mel202	NAA10	8	3.2669e-07	4.6703e-06	0.000225	15	8	-1.1442	1	1	0.999995	1050	0	-1.1442	1	0	10.9517916666667	1
scaled	Mel202	INTS6	6	3.8395e-07	4.6703e-06	0.000225	16	6	-1.7219	1	1	0.999995	1049	0	-1.7219	1	0	12.7688472222222	1
scaled	Mel202	ZNF407	8	3.883e-07	4.6703e-06	0.000225	17	8	-0.82189	1	1	0.999995	1048	0	-0.82189	1	0	5.82345833333333	1
scaled	Mel202	RPS11	7	7.8132e-07	4.6703e-06	0.000225	18	7	-2.2729	1	1	0.999995	1047	0	-2.2729	1	0	10.953744047619	1
scaled	Mel202	TIMM10	8	8.0272e-07	4.6703e-06	0.000225	19	8	-1.1603	1	1	0.999995	1046	0	-1.1603	1	0	9.80691666666667	1
scaled	Mel202	RPL14	6	8.9765e-07	4.6703e-06	0.000225	20	6	-1.9446	0.99999	1	0.999995	1032	0	-1.9446	1	0	13.0579583333333	1
scaled	Mel202	RPL36	8	9.8638e-07	4.6703e-06	0.000225	21	7	-1.4885	0.99999	1	0.999995	1030	0	-1.4885	1	0	10.6956666666667	1
scaled	Mel202	HSCB	8	1.081e-06	4.6703e-06	0.000225	22	7	-1.2456	0.99991	0.99989	0.999995	1009	0	-1.2456	1	0	8.76620833333333	1
