STUDY_ID	SAMPLE_ID	CDS1	CDS2	RIC8A	RIC8B	MDM2	MDM4	SPTSSA	SPTSSB
uvm_tcga_pan_can_atlas_2018	TCGA-VD-AA8P-01	105.594	1114.16	2193.07	464.041	586.187	489.726	636.986	0
uvm_tcga_pan_can_atlas_2018	TCGA-WC-A883-01	155.446	2438.97	1187.99	385.331	1850.03	2331.14	737.822	1.0947
uvm_tcga_pan_can_atlas_2018	TCGA-V4-A9E5-01	46.7512	1465.13	3879.32	185.42	966.72	180.666	484.152	0
uvm_tcga_pan_can_atlas_2018	TCGA-V4-A9EY-01	15.0781	2112.31	3241.82	138.445	626.429	78.1322	496.208	0
uvm_tcga_pan_can_atlas_2018	TCGA-V4-A9F3-01	158.424	3130.38	1929.09	351.103	4441.02	832.798	1153.5	0.8563
uvm_tcga_pan_can_atlas_2018	TCGA-VD-A8K8-01	78.1059	1824.36	2031.79	358.015	5026.35	595.16	1113.98	0
uvm_tcga_pan_can_atlas_2018	TCGA-V4-A9F2-01	38.3649	1337.29	3102.77	232.016	850.423	637.588	763.645	0
uvm_tcga_pan_can_atlas_2018	TCGA-V4-A9E7-01	45.8129	2307.9	2484.58	315.335	1206.6	369.478	668.154	0
uvm_tcga_pan_can_atlas_2018	TCGA-VD-A8KN-01	65.0407	3293.7	2234.16	448.679	1495.43	519.817	806.402	0.5081
uvm_tcga_pan_can_atlas_2018	TCGA-VD-AA8N-01	40.2299	2172.41	2395.23	250.958	1593.87	319.923	557.471	0
uvm_tcga_pan_can_atlas_2018	TCGA-WC-A880-01	121.614	1775.89	1826.63	265.534	2029.21	304.833	654.806	0
uvm_tcga_pan_can_atlas_2018	TCGA-VD-A8KG-01	55.1559	1946.44	3208.63	219.824	724.62	266.187	545.563	0.3997
uvm_tcga_pan_can_atlas_2018	TCGA-VD-A8KJ-01	60.2514	1373.21	2040.91	302.124	1445.17	665.366	1078.02	0
uvm_tcga_pan_can_atlas_2018	TCGA-V4-A9EL-01	78.8415	3670.96	2268.02	369.268	4720.84	846.34	1286.4	0.4023
uvm_tcga_pan_can_atlas_2018	TCGA-VD-A8KB-01	26.1962	1279.63	2259.52	331.439	588.275	554.676	537.591	0
uvm_tcga_pan_can_atlas_2018	TCGA-VD-A8KF-01	145.635	1235.52	1733.54	443.82	3968.02	791.27	1157.3	0
uvm_tcga_pan_can_atlas_2018	TCGA-V4-A9EW-01	131.654	1869.03	2011.29	373.624	1087.73	685.507	740.892	0.454
uvm_tcga_pan_can_atlas_2018	TCGA-V4-A9EH-01	94.3048	3759.39	2514.98	351.218	1754.15	331.425	594.936	0.3881
uvm_tcga_pan_can_atlas_2018	TCGA-V4-A9F1-01	75.9053	2290.04	2049.01	368.036	3683.84	475.975	1597.84	0
uvm_tcga_pan_can_atlas_2018	TCGA-WC-AA9E-01	6.646	1365.09	2159.29	330.084	908.728000000001	762.517	1176.78	0
uvm_tcga_pan_can_atlas_2018	TCGA-V4-A9E8-01	12.8522	2785.96	3488.72	170.044	951.063	260.998	777.064	0
