Gene	ModelName	Beta	FDR
A1BG	921	0.15245	0.89558
A1BG	Mel202	-0.15532	0.83745
A1BG	Mel270	-0.16108	0.80588
A1BG	Mel285	-0.10149	0.81312
A1BG	MP38	0.050654	0.90715
A1BG	MP41	-0.015636	0.99866
A1BG	MP46	0.055544	0.91321
A1BG	OMM1	0.048376	0.91456
A1BG	OMM23	0.039062	0.93731
A1BG	OMM25	-0.019501	0.99843
A1CF	921	-0.36811	0.55307
A1CF	Mel202	0.12006	0.73024
A1CF	Mel270	-0.18331	0.7689
A1CF	Mel285	-0.32625	0.34486
A1CF	MP38	-0.10923	0.8381
A1CF	MP41	-0.32109	0.39676
A1CF	MP46	-0.085717	0.84178
A1CF	OMM1	-0.078136	0.93983
A1CF	OMM23	-0.15131	0.82255
A1CF	OMM25	-0.15879	0.8207
A2M	921	0.56436	0.15728
A2M	Mel202	0.26796	0.23213
A2M	Mel270	0.27044	0.18108
A2M	Mel285	0.24029	0.52077
A2M	MP38	0.18285	0.34225
A2M	MP41	0.21181	0.2651
A2M	MP46	0.065411	0.89178
A2M	OMM1	0.1416	0.62381
A2M	OMM23	0.14921	0.559
A2M	OMM25	0.14561	0.63778
A2ML1	921	-0.41509	0.48459
A2ML1	Mel202	0.19354	0.48777
A2ML1	Mel270	0.0073055	0.9687
A2ML1	Mel285	0.20453	0.63474
A2ML1	MP38	0.070096	0.84941
A2ML1	MP41	0.067295	0.83694
A2ML1	MP46	0.092924	0.8148
A2ML1	OMM1	0.10596	0.76191
A2ML1	OMM23	0.14521	0.5772
A2ML1	OMM25	0.18864	0.45927
A3GALT2	921	0.22927	0.79541
A3GALT2	Mel202	0.010724	0.96144
A3GALT2	Mel270	-0.015801	0.99816
A3GALT2	Mel285	0.0025565	0.97945
A3GALT2	MP38	-0.13965	0.7811
A3GALT2	MP41	-0.20109	0.63055
A3GALT2	MP46	-0.12291	0.73065
A3GALT2	OMM1	-0.080184	0.93731
A3GALT2	OMM23	-0.13569	0.84928
A3GALT2	OMM25	0.0097056	0.97036
A4GALT	921	0.18977	0.85487
A4GALT	Mel202	-0.13793	0.86441
A4GALT	Mel270	-0.072868	0.9229
A4GALT	Mel285	0.10553	0.88514
A4GALT	MP38	0.0076877	0.98219
A4GALT	MP41	-0.11375	0.83345
A4GALT	MP46	0.062403	0.89965
A4GALT	OMM1	0.018029	0.96569
A4GALT	OMM23	-0.021281	0.99212
A4GALT	OMM25	-0.014008	0.99843
A4GNT	921	-0.0032664	0.97463
A4GNT	Mel202	0.0080987	0.96359
A4GNT	Mel270	0.16981	0.55246
A4GNT	Mel285	-0.34204	0.31227
A4GNT	MP38	0.087926	0.79752
A4GNT	MP41	0.004433	0.97081
A4GNT	MP46	0.037021	0.9517
A4GNT	OMM1	0.044904	0.9233
A4GNT	OMM23	-0.075523	0.93499
A4GNT	OMM25	0.14512	0.63967
AAAS	921	0.21128	0.84389
AAAS	Mel202	0.078471	0.86437
AAAS	Mel270	0.0154	0.9682
AAAS	Mel285	-0.085698	0.86706
AAAS	MP38	0.027418	0.95558
AAAS	MP41	-0.046997	0.95231
AAAS	MP46	0.11309	0.77919
AAAS	OMM1	0.066794	0.90203
AAAS	OMM23	-0.036849	0.97829
AAAS	OMM25	0.1053	0.81218
AACS	921	0.40341	0.45746
AACS	Mel202	0.089072	0.81578
AACS	Mel270	0.11964	0.72352
AACS	Mel285	-0.012959	0.96184
AACS	MP38	0.040002	0.92454
AACS	MP41	0.13027	0.60196
AACS	MP46	0.0029323	0.99837
AACS	OMM1	0.069626	0.87111
AACS	OMM23	0.075165	0.85179
AACS	OMM25	-0.092042	0.91785
AADAC	921	0.043903	0.99607
AADAC	Mel202	0.096785	0.79372
AADAC	Mel270	0.16975	0.55295
AADAC	Mel285	0.077181	0.92897
AADAC	MP38	0.11053	0.71353
AADAC	MP41	0.21861	0.23301
AADAC	MP46	0.019073	0.97756
AADAC	OMM1	0.20247	0.33449
AADAC	OMM23	0.14992	0.55476
AADAC	OMM25	0.25771	0.20351
AADACL2	921	0.084444	0.96654
AADACL2	Mel202	0.019339	0.94852
AADACL2	Mel270	-0.18975	0.76012
AADACL2	Mel285	0.14325	0.79477
AADACL2	MP38	0.0024377	0.99005
AADACL2	MP41	-0.023115	0.98698
AADACL2	MP46	-0.037882	0.94279
AADACL2	OMM1	-0.0073472	0.99009
AADACL2	OMM23	0.12671	0.6598
AADACL2	OMM25	-0.15195	0.83076
AADACL3	921	0.10136	0.9531
AADACL3	Mel202	0.011317	0.96058
AADACL3	Mel270	0.034264	0.92115
AADACL3	Mel285	-0.024635	0.94247
AADACL3	MP38	-0.057406	0.92938
AADACL3	MP41	-0.019239	0.99266
AADACL3	MP46	-0.13834	0.67559
AADACL3	OMM1	0.0015533	0.9801
AADACL3	OMM23	-0.15781	0.81197
AADACL3	OMM25	0.031911	0.94259
AADACL4	921	0.0034402	0.97927
AADACL4	Mel202	0.23593	0.34185
AADACL4	Mel270	0.17084	0.54701
AADACL4	Mel285	0.15766	0.76852
AADACL4	MP38	0.1479	0.53276
AADACL4	MP41	0.092279	0.74514
AADACL4	MP46	0.11255	0.7358
AADACL4	OMM1	0.094375	0.80426
AADACL4	OMM23	0.16735	0.46723
AADACL4	OMM25	0.1685	0.53498
AADAT	921	-0.55341	0.30588
AADAT	Mel202	-0.082403	0.94234
AADAT	Mel270	0.093867	0.80511
AADAT	Mel285	-0.034821	0.92796
AADAT	MP38	-0.15909	0.73442
AADAT	MP41	0.016801	0.95119
AADAT	MP46	-0.060881	0.89526
AADAT	OMM1	-0.051219	0.96846
AADAT	OMM23	0.11002	0.73305
AADAT	OMM25	-0.022441	0.99568
PRXL2C	921	0.15302	0.89437
PRXL2C	Mel202	0.13681	0.68737
PRXL2C	Mel270	0.25926	0.21707
PRXL2C	Mel285	0.13125	0.82575
PRXL2C	MP38	0.14954	0.52557
PRXL2C	MP41	-0.086618	0.88359
PRXL2C	MP46	0.093767	0.81076
PRXL2C	OMM1	0.13984	0.63023
PRXL2C	OMM23	0.065614	0.87603
PRXL2C	OMM25	0.12677	0.70537
AAGAB	921	-0.053435	0.93319
AAGAB	Mel202	-0.1233	0.8875
AAGAB	Mel270	0.053092	0.88695
AAGAB	Mel285	0.23875	0.52381
AAGAB	MP38	0.028335	0.94436
AAGAB	MP41	0.053957	0.87197
AAGAB	MP46	0.076586	0.86381
AAGAB	OMM1	-0.076815	0.94201
AAGAB	OMM23	0.047224	0.92318
