Gene stable ID	Gene stable ID version	Gene name	HGNC symbol	HGNC ID
ENSG00000288499	ENSG00000288499.1	FAM20C	FAM20C	HGNC:22140
ENSG00000281934	ENSG00000281934.1	PRAMEF11	PRAMEF11	HGNC:14086
ENSG00000282175	ENSG00000282175.4	HNRNPCL1	HNRNPCL1	HGNC:29295
ENSG00000282817	ENSG00000282817.1	PRAMEF2	PRAMEF2	HGNC:28841
ENSG00000282584	ENSG00000282584.2	PRAMEF4	PRAMEF4	HGNC:31971
ENSG00000288243	ENSG00000288243.1	STING1	STING1	HGNC:27962
ENSG00000282663	ENSG00000282663.1	PRAMEF10	PRAMEF10	HGNC:27997
ENSG00000279195	ENSG00000279195.2	PRAMEF7	PRAMEF7	HGNC:28415
ENSG00000282119	ENSG00000282119.2	PRAMEF6	PRAMEF6	HGNC:30583
ENSG00000291381	ENSG00000291381.1	ARHGEF19	ARHGEF19	HGNC:26604
ENSG00000291382	ENSG00000291382.1	CPLANE2	CPLANE2	HGNC:28127
ENSG00000291375	ENSG00000291375.1	FBXO42	FBXO42	HGNC:29249
ENSG00000291379	ENSG00000291379.1	SZRD1	SZRD1	HGNC:30232
ENSG00000291401	ENSG00000291401.1	SPATA21	SPATA21	HGNC:28026
ENSG00000291380	ENSG00000291380.1	NECAP2	NECAP2	HGNC:25528
ENSG00000282741	ENSG00000282741.3	PRAMEF13	PRAMEF13	HGNC:13262
ENSG00000282212	ENSG00000282212.2	PRAMEF18	PRAMEF18	HGNC:30693
ENSG00000282424	ENSG00000282424.1	PRAMEF5	PRAMEF5	HGNC:27995
ENSG00000282583	ENSG00000282583.1	PRAMEF8	PRAMEF8	HGNC:24074
ENSG00000293551	ENSG00000293551.1	PRAMEF22	PRAMEF22	HGNC:34393
ENSG00000291387	ENSG00000291387.1	PADI2	PADI2	HGNC:18341
ENSG00000291420	ENSG00000291420.1	ACTG1	ACTG1	HGNC:144
ENSG00000281449	ENSG00000281449.2	BCL2L14	BCL2L14	HGNC:16657
ENSG00000281324	ENSG00000281324.3	LRP6	LRP6	HGNC:6698
ENSG00000281818	ENSG00000281818.3	MANSC1	MANSC1	HGNC:25505
ENSG00000280689	ENSG00000280689.3	BORCS5	BORCS5	HGNC:17950
ENSG00000280962	ENSG00000280962.3	DUSP16	DUSP16	HGNC:17909
ENSG00000291426	ENSG00000291426.1	TOLLIP	TOLLIP	HGNC:16476
ENSG00000291428	ENSG00000291428.1	BRSK2	BRSK2	HGNC:11405
ENSG00000291431	ENSG00000291431.1	DUSP8	DUSP8	HGNC:3074
ENSG00000291433	ENSG00000291433.1	KRTAP5-1	KRTAP5-1	HGNC:23596
ENSG00000291434	ENSG00000291434.1	KRTAP5-2	KRTAP5-2	HGNC:23597
ENSG00000291435	ENSG00000291435.1	KRTAP5-3	KRTAP5-3	HGNC:23598
ENSG00000291443	ENSG00000291443.1	KRTAP5-5	KRTAP5-5	HGNC:23601
ENSG00000291442	ENSG00000291442.1	MOB2	MOB2	HGNC:24904
ENSG00000292327	ENSG00000292327.1	PPP2R3B	PPP2R3B	HGNC:13417
ENSG00000292332	ENSG00000292332.1	IL3RA	IL3RA	HGNC:6012
ENSG00000292333	ENSG00000292333.1	P2RY8	P2RY8	HGNC:15524
ENSG00000292334	ENSG00000292334.1	SLC25A6	SLC25A6	HGNC:10992
ENSG00000292338	ENSG00000292338.1	DHRSX	DHRSX	HGNC:18399
ENSG00000292339	ENSG00000292339.1	ASMTL	ASMTL	HGNC:751
ENSG00000292344	ENSG00000292344.1	PLCXD1	PLCXD1	HGNC:23148
ENSG00000292345	ENSG00000292345.1	ZBED1	ZBED1	HGNC:447
ENSG00000292348	ENSG00000292348.1	CD99	CD99	HGNC:7082
ENSG00000292354	ENSG00000292354.1	SHOX	SHOX	HGNC:10853
ENSG00000292343	ENSG00000292343.1	AKAP17A	AKAP17A	HGNC:18783
ENSG00000292336	ENSG00000292336.1	ASMT	ASMT	HGNC:750
ENSG00000292357	ENSG00000292357.2	CSF2RA	CSF2RA	HGNC:2435
ENSG00000288124	ENSG00000288124.1	C1RL	C1RL	HGNC:21265
ENSG00000292366	ENSG00000292366.1	VAMP7	VAMP7	HGNC:11486
ENSG00000292373	ENSG00000292373.2	IL9R	IL9R	HGNC:6030
ENSG00000288369	ENSG00000288369.1	RBP5	RBP5	HGNC:15847
ENSG00000288427	ENSG00000288427.1	CLSTN3	CLSTN3	HGNC:18371
ENSG00000114374	ENSG00000114374.13	USP9Y	USP9Y	HGNC:12633
ENSG00000198692	ENSG00000198692.10	EIF1AY	EIF1AY	HGNC:3252
ENSG00000288217	ENSG00000288217.3	PEX5	PEX5	HGNC:9719
ENSG00000169953	ENSG00000169953.12	HSFY2	HSFY2	HGNC:23950
ENSG00000012817	ENSG00000012817.16	KDM5D	KDM5D	HGNC:11115
ENSG00000172468	ENSG00000172468.14	HSFY1	HSFY1	HGNC:18568
ENSG00000176679	ENSG00000176679.9	TGIF2LY	TGIF2LY	HGNC:18569
ENSG00000185894	ENSG00000185894.8	BPY2C	BPY2C	HGNC:18225
ENSG00000129873	ENSG00000129873.8	CDY2B	CDY2B	HGNC:23921
ENSG00000184895	ENSG00000184895.8	SRY	SRY	HGNC:11311
ENSG00000129824	ENSG00000129824.16	RPS4Y1	RPS4Y1	HGNC:10425
ENSG00000067646	ENSG00000067646.12	ZFY	ZFY	HGNC:12870
ENSG00000067048	ENSG00000067048.17	DDX3Y	DDX3Y	HGNC:2699
ENSG00000281230	ENSG00000281230.3	SERTAD4	SERTAD4	HGNC:25236
ENSG00000183878	ENSG00000183878.16	UTY	UTY	HGNC:12638
ENSG00000280680	ENSG00000280680.3	HHAT	HHAT	HGNC:18270
ENSG00000154620	ENSG00000154620.6	TMSB4Y	TMSB4Y	HGNC:11882
ENSG00000129864	ENSG00000129864.7	VCY	VCY	HGNC:12668
ENSG00000099721	ENSG00000099721.16	AMELY	AMELY	HGNC:462
ENSG00000092377	ENSG00000092377.15	TBL1Y	TBL1Y	HGNC:18502
ENSG00000285435	ENSG00000285435.3	H3-4	H3-4	HGNC:4778
ENSG00000284841	ENSG00000284841.1	H2AC25	H2AC25	HGNC:20507
ENSG00000285449	ENSG00000285449.1	H2BC26	H2BC26	HGNC:20514
ENSG00000284984	ENSG00000284984.2	RHOU	RHOU	HGNC:17794
ENSG00000165246	ENSG00000165246.15	NLGN4Y	NLGN4Y	HGNC:15529
ENSG00000129862	ENSG00000129862.7	VCY1B	VCY1B	HGNC:31751
ENSG00000280969	ENSG00000280969.2	RPS4Y2	RPS4Y2	HGNC:18501
ENSG00000183146	ENSG00000183146.4	PRORY	PRORY	HGNC:38732
