ModelID,DepmapModelType,...1,CDS2 (8760),CDS1 (1040)
ACH-000001,HGSOC,ACH-000001,-0.2579291035086226,5.153805336079036
ACH-000002,AML,ACH-000002,NA,0.0565835283663675
ACH-000003,COAD,ACH-000003,NA,3.468583317006828
ACH-000004,AML,ACH-000004,-1.317140816716413,0.0285691521967709
ACH-000005,AML,ACH-000005,-0.7477242335261995,0.1110313123887439
ACH-000006,AMOL,ACH-000006,NA,0.0840642647884745
ACH-000007,COAD,ACH-000007,0.11660702049712708,3.718087583960517
ACH-000008,MEL,ACH-000008,NA,0.7311832415722002
ACH-000009,COAD,ACH-000009,-0.06325196220869578,4.177917792195843
ACH-000011,BLCA,ACH-000011,-0.6154588429117176,0.8875252707415875
ACH-000012,LUAD,ACH-000012,-0.14536498549870752,3.835924074254375
ACH-000013,HGSOC,ACH-000013,-0.06806142116917896,3.853995647176393
ACH-000014,MEL,ACH-000014,NA,0.7824085649273732
ACH-000015,LCLC,ACH-000015,-0.6182756923590598,0.2986583155645151
ACH-000016,CCRCC,ACH-000016,NA,2.1667154449664223
ACH-000017,BRCA,ACH-000017,-0.15125716141815151,4.662775171937776
ACH-000018,BLCA,ACH-000018,-0.22592914988323132,0.6690267655096305
ACH-000019,BRCA,ACH-000019,-0.16438070903119478,3.503348735167504
ACH-000020,BLL,ACH-000020,NA,0.0285691521967709
ACH-000021,LUAD,ACH-000021,-0.226042578267704,3.2720231890610485
ACH-000022,PAAD,ACH-000022,-0.07494058920444091,3.980025300238734
ACH-000023,PAAD,ACH-000023,-0.49298476395503826,0.7484612330040357
ACH-000024,PCM,ACH-000024,-0.259597416178296,1.0356239097307212
ACH-000025,MNG,ACH-000025,-0.6405622941922076,0.1110313123887439
ACH-000026,BLCA,ACH-000026,NA,1.15704371014558
ACH-000027,GB,ACH-000027,NA,2.111031312388744
ACH-000028,BRCA,ACH-000028,-0.01089248831767281,3.534808661231747
ACH-000029,LUAD,ACH-000029,-0.15671287612075682,4.283921772307617
ACH-000030,LUAD,ACH-000030,-0.1131898160809026,4.490570130446201
ACH-000031,PAAD,ACH-000031,NA,3.812498225333564
ACH-000032,BLL,ACH-000032,NA,0.0565835283663675
ACH-000033,LUAD,ACH-000033,NA,4.463360885816658
ACH-000034,AML,ACH-000034,NA,0.0565835283663675
ACH-000035,NSCLC,ACH-000035,-0.08671434938628692,4.625270489374693
ACH-000036,GB,ACH-000036,-0.28349256146037316,1.7484612330040354
ACH-000037,SARCNOS,ACH-000037,-0.26122522206699433,1.070389327891398
ACH-000038,BLL,ACH-000038,NA,1.0285691521967708
ACH-000039,ES,ACH-000039,-0.34617419564137897,2.669026765509631
ACH-000040,ASTR,ACH-000040,-0.34132015055758264,1.6959938131099002
ACH-000041,ES,ACH-000041,-0.06264169259145752,2.032100843167024
ACH-000042,PAAD,ACH-000042,-0.16567799060149366,3.1342209397606338
ACH-000043,ZFIBSKI,ACH-000043,NA,0.0285691521967709
ACH-000044,ILC,ACH-000044,NA,4.150559676575382
ACH-000045,AML,ACH-000045,-0.6987291704224392,0.01435529297707
ACH-000046,PRCC,ACH-000046,NA,2.333423733725192
ACH-000047,STAD,ACH-000047,-0.01700426299497759,NA
ACH-000048,EOV,ACH-000048,-0.8271576359769801,0.0565835283663675
ACH-000049,ZIMMEKC,ACH-000049,NA,1.298658315564515
ACH-000050,PCM,ACH-000050,NA,0.5459683691052926
ACH-000051,RMS,ACH-000051,NA,0.2016338611696504
ACH-000052,ES,ACH-000052,-0.5121922765308765,0.8237493603082727
ACH-000053,ALCLALKP,ACH-000053,-0.1658878436714337,2.070389327891398
ACH-000054,FIBS,ACH-000054,-0.2380374560966819,1.292781749227846
ACH-000055,MBL,ACH-000055,-0.7620063219995381,1.0356239097307212
ACH-000056,DLBCLNOS,ACH-000056,NA,0.0426443374084937
ACH-000057,PCM,ACH-000057,NA,0.7398481026993274
ACH-000058,THFO,ACH-000058,NA,1.550900664647523
ACH-000059,BLLBCRABL1,ACH-000059,NA,0.0840642647884745
ACH-000060,PAAD,ACH-000060,-0.00699473209122353,2.912649864897204
ACH-000061,MTNN,ACH-000061,NA,0.7048719644563528
ACH-000062,LUAD,ACH-000062,NA,1.263034405833794
ACH-000063,ZFIBLYM,ACH-000063,NA,0.4005379295837288
ACH-000064,ZIMMLUNG,ACH-000064,NA,4.053111336459563
ACH-000065,AML,ACH-000065,NA,0.3895668117627256
ACH-000066,LUAD,ACH-000066,NA,3.957914598632985
ACH-000067,ODG,ACH-000067,-0.5803956773390726,2.1243281350022016
ACH-000068,MCL,ACH-000068,NA,0.0426443374084937
ACH-000069,HL,ACH-000069,NA,0.0285691521967709
ACH-000070,BLL,ACH-000070,-0.5830945758036588,0.0285691521967709
ACH-000071,ZFIBBON,ACH-000071,NA,0.5459683691052926
ACH-000072,CMLBCRABL1,ACH-000072,NA,0.1110313123887439
ACH-000073,MCL,ACH-000073,NA,0.0426443374084937
ACH-000074,CMLBCRABL1,ACH-000074,-0.4774134003543518,0.0285691521967709
ACH-000075,GB,ACH-000075,-0.17682059933061853,1.1309308698264486
ACH-000076,CMLBCRABL1,ACH-000076,-0.8307930595185667,0.0426443374084937
ACH-000077,MTNN,ACH-000077,-0.8581809200781163,0.0565835283663675
ACH-000078,NBL,ACH-000078,-0.6206561765478114,0.1243281350022017
ACH-000079,ZFIBSOF,ACH-000079,NA,0.5260688116675876
ACH-000080,AMOL,ACH-000080,NA,0.0840642647884745
ACH-000081,AML,ACH-000081,NA,0.0565835283663675
ACH-000082,OS,ACH-000082,-0.681859953398141,0.1763227726404629
ACH-000083,ZFIBBRE,ACH-000083,NA,0.1505596765753814
ACH-000084,AMLGATA2MECOM,ACH-000084,NA,0.0565835283663675
ACH-000085,PAAD,ACH-000085,-0.09457839302557348,3.5993177936982264
ACH-000086,PLEMESO,ACH-000086,-0.5193080757685609,0.632268215499513
ACH-000087,ES,ACH-000087,NA,2.060047383669939
ACH-000088,ZFIBURT,ACH-000088,NA,0.3785116232537298
