dataset,cell_line_label,gene,num,neg.score,neg.p.value,neg.fdr,neg.rank,neg.goodsgrna,neg.lfc,pos.score,pos.p.value,pos.fdr,pos.rank,pos.goodsgrna,pos.lfc,is_depleted_mageck,is_enriched_mageck,BF,is_depleted_bagel
scaled,Mel202,CCND1,8,3.2477e-8,4.6703e-6,2.25e-4,8,8,-1.5465,1,1,0.999995,1054,0,-1.5465,1,0,10.8025416666667,1
scaled,Mel202,ALDOA,8,7.4247e-8,4.6703e-6,2.25e-4,9,7,-1.6136,1,1,0.999995,1037,0,-1.6136,1,0,11.621,1
scaled,Mel202,INTS6,6,3.8395e-7,4.6703e-6,2.25e-4,16,6,-1.7219,1,1,0.999995,1049,0,-1.7219,1,0,12.7688472222222,1
scaled,Mel202,ZNF407,8,3.883e-7,4.6703e-6,2.25e-4,17,8,-0.82189,1,1,0.999995,1048,0,-0.82189,1,0,5.82345833333333,1
scaled,Mel202,HMGCS1,7,1.9934e-6,2.3351e-5,8.54e-4,27,7,-1.1556,1,1,0.999995,1041,0,-1.1556,1,0,7.10093452380952,1
scaled,Mel202,RRM2,7,2.4071e-6,2.3351e-5,8.54e-4,28,5,-1.8172,0.85856,0.85715,0.999995,751,0,-1.8172,1,0,11.4833630952381,1
scaled,Mel202,RNF113A,8,4.1445e-6,4.2033e-5,0.001238,31,7,-0.97414,0.90844,0.9077,0.999995,803,0,-0.97414,1,0,9.0865,1
scaled,Mel202,DYNLRB1,7,6.8782e-6,4.2033e-5,0.001238,37,7,-1.3678,0.99999,1,0.999995,1031,0,-1.3678,1,0,8.78522023809524,1
scaled,Mel202,RBBP4,7,8.4996e-6,5.1373e-5,0.001433,38,6,-1.3464,0.94006,0.93939,0.999995,844,0,-1.3464,1,0,9.29588690476191,1
scaled,Mel202,HUS1,8,1.6521e-5,1.1676e-4,0.00269,44,7,-0.91041,0.99963,0.99955,0.999995,988,0,-0.91041,1,0,5.90645833333333,1
scaled,Mel202,ATP6V1B2,8,1.6858e-5,1.1676e-4,0.00269,45,7,-0.91411,1,1,0.999995,1039,0,-0.91411,1,0,7.61033333333333,1
